sentence,cleanliness,comfort,amenities,staff,value,wifi,location,other
"Il rumore di martello e trapano di un operaio al lavoro la mattina 7,30",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Stanza enorme e pulita, con letto comodissimo.",positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
"Camera spaziosa, letti largho e comodi, colazione varia e personale gentile",neutral,positive,positive,positive,neutral,neutral,neutral,neutral
Gli asciugamani fornitici presentavano dei buchi,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"L'hotel avrebbe bisogno di una ripulita, non tanto le stanze dato che la mia era spaziosa e confortevole, ma il corridoio e la moquette.",negative,positive,neutral,neutral,neutral,neutral,neutral,neutral
"La posizione strategica, e l'educazione e la cordialita' del personale rendono il soggiorno in questo piccolo Hotel  Unico , sembra di essere a casa",neutral,neutral,neutral,positive,neutral,neutral,positive,neutral
Buon rapporto qualità prezzo.,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral
"disponibilissimo per ogni esigenza del cliente ho trovato inoltre l albergo molto pulito,le stanze calde ed il bagno dotato di ogni comfort",positive,positive,neutral,positive,neutral,neutral,neutral,neutral
"Ottima colazione, staff gentile e disponibile, camere ampie e curate.",neutral,positive,positive,neutral,neutral,neutral,neutral,neutral
"Hotel di recente costruzione, ordinato, funzionale, pulito.",positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
Il receptionist era gentilissimo,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
diseducazione dello staff in complicit  con clienti ad emanare in tarda serata vociare e altei rumori molesti.,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
"La posizione è strategica, decisamente comoda per i mezzi pubblici e le principali attrazioni.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
stanza bella e pulita.,positive,neutral,neutral,neutral,neutral,neutral,neutral,positive
La posizione strategica e la colazione varia ed abbondante.,neutral,neutral,positive,neutral,neutral,neutral,positive,neutral
La colazione è ottima e variegata.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"Colazione abbondante e molto buona, posizione ottima in quanto la struttura è posta proprio tra il lungomare e il centro storico.",neutral,neutral,positive,neutral,neutral,neutral,positive,neutral
L'odore di fumo nella stanza,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Niente da segnalare tranne che questa volta ci è capitato un bagno con un lavandino microscopico  si può fare di più,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Accoglienza gentile, professionale, disponibili.",neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
la camera era molto piccola,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"la posizione, dalla stazione è facile arrivare, ed è vicino al centro.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
In reception sembrava dare fastidio la tua presenza.,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
La comodità ed il confort,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Posizione perfetta per chi deve soggiornare  al volo  e prendere il treno.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Ottima scelta buffet per tutti gusti.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Accoglienza in struttura da parte di una signora che non era a conoscenza neanche delle camere libere.,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
Cortesia e professionalità dello staff,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Parcheggio con tariffa giornaliera che in realtà termina alle ore 11, ore aggiuntive a 5  l'una.",neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
