sentence,cleanliness_presence,comfort_presence,amenities_presence,staff_presence,value_presence,wifi_presence,location_presence,other_presence
"Il rumore di martello e trapano di un operaio al lavoro la mattina 7,30",0,1,0,0,0,0,0,0
"Stanza enorme e pulita, con letto comodissimo.",1,1,0,0,0,0,0,0
"Camera spaziosa, letti largho e comodi, colazione varia e personale gentile",0,1,1,1,0,0,0,0
Gli asciugamani fornitici presentavano dei buchi,0,1,0,0,0,0,0,0
"L'hotel avrebbe bisogno di una ripulita, non tanto le stanze dato che la mia era spaziosa e confortevole, ma il corridoio e la moquette.",1,1,0,0,0,0,0,0
"La posizione strategica, e l'educazione e la cordialita' del personale rendono il soggiorno in questo piccolo Hotel  Unico , sembra di essere a casa",0,0,0,1,0,0,1,0
Buon rapporto qualità prezzo.,0,0,0,0,1,0,0,0
"disponibilissimo per ogni esigenza del cliente ho trovato inoltre l albergo molto pulito,le stanze calde ed il bagno dotato di ogni comfort",1,1,0,1,0,0,0,0
"Ottima colazione, staff gentile e disponibile, camere ampie e curate.",0,1,1,0,0,0,0,0
"Hotel di recente costruzione, ordinato, funzionale, pulito.",1,1,0,0,0,0,0,0
Il receptionist era gentilissimo,0,0,0,1,0,0,0,0
diseducazione dello staff in complicit  con clienti ad emanare in tarda serata vociare e altei rumori molesti.,0,0,0,1,0,0,0,0
"La posizione è strategica, decisamente comoda per i mezzi pubblici e le principali attrazioni.",0,0,0,0,0,0,1,0
stanza bella e pulita.,1,0,0,0,0,0,0,1
La posizione strategica e la colazione varia ed abbondante.,0,0,1,0,0,0,1,0
La colazione è ottima e variegata.,0,0,1,0,0,0,0,0
"Colazione abbondante e molto buona, posizione ottima in quanto la struttura è posta proprio tra il lungomare e il centro storico.",0,0,1,0,0,0,1,0
L'odore di fumo nella stanza,0,1,0,0,0,0,0,0
Niente da segnalare tranne che questa volta ci è capitato un bagno con un lavandino microscopico  si può fare di più,0,1,0,0,0,0,0,0
"Accoglienza gentile, professionale, disponibili.",0,0,0,1,0,0,0,0
la camera era molto piccola,0,1,0,0,0,0,0,0
"la posizione, dalla stazione è facile arrivare, ed è vicino al centro.",0,0,0,0,0,0,1,0
In reception sembrava dare fastidio la tua presenza.,0,0,0,1,0,0,0,0
La comodità ed il confort,0,1,0,0,0,0,0,0
Posizione perfetta per chi deve soggiornare  al volo  e prendere il treno.,0,0,0,0,0,0,1,0
Ottima scelta buffet per tutti gusti.,0,0,1,0,0,0,0,0
Accoglienza in struttura da parte di una signora che non era a conoscenza neanche delle camere libere.,0,0,0,1,0,0,0,0
Cortesia e professionalità dello staff,0,0,0,1,0,0,0,0
"Parcheggio con tariffa giornaliera che in realtà termina alle ore 11, ore aggiuntive a 5  l'una.",0,0,0,1,0,0,0,0
"Posizione suggestiva con vista sul golfo  staff pronto e cordiale  camera confortevole, per quanto un po' piccola  ottimo prezzo  drink di benvenuto  reception H24.",0,0,0,1,0,0,1,0
"Bagni fatiscenti, posizione della struttura sgradevole , piena di extracomunitari",0,1,0,0,0,0,1,0
"Posizione strategica  pochi minuti a piedi dalla stazione centrale di piazza Garibaldi , portiere di notte presente e cordiale, struttura interna particolarissima",0,0,0,1,0,0,1,1
Prodotti a pagamento in una suite da 340 Se io fossi in loro farei pagare 20  in più la stanza ma metterei tutto gratis nella stanza,0,0,0,0,1,0,0,0
In bagno 1 solo schampo e 1 solo bagno doccia per 2 persone.,0,0,1,0,0,0,0,0
Rientrati in albergo alle 00 00 nessuno in portineria.,0,0,1,0,0,0,0,0
Colazione abbondante e camere spaziose.,0,1,1,0,0,0,0,0
la posizione  tra la stazione ed il centro,0,0,0,0,0,0,1,0
"Ottima posizione per chi è in viaggio di lavoro, molto buona qualità stanza, servizio, pulizia, comfort.",1,1,0,0,0,0,1,0
"Ottima la visuale dalla hall, dal ristorante e da alcune camere.",0,1,0,0,0,0,0,0
"In definitiva ho pagato 20 euro di più per il servizio di check in posticipato, pur avendo appurato che l'impiegato era comunque presente, dato che consegnave  e ritirava le chiavi di altri clienti... .",0,0,1,0,0,0,0,0
Molto pulito e il personale è molto gentile e cortese.,1,0,0,1,0,0,0,0
La colazione offerta era super.,0,0,1,0,0,0,0,0
Ci avete dato una camera buia senza luce che si affacciava direttamente su un altro edificio.,0,1,0,0,0,0,1,0
Camera ottima e proporzionata al costo.,0,1,0,0,1,0,0,0
"Solo per questo  che comunque non è poco ,non lo consiglierei.",0,0,0,0,1,0,0,0
"Struttura vecchia con arredamento essenziale e datato, ma comodo sia per la posizione che per il prezzo.",0,1,0,0,1,0,1,0
Straordinaria posizione  vicino alle principali attrazioni dell'area storica greco romana e la metropolitana Università.,0,0,0,0,0,0,1,0
"Ottima posizione, buona e abbondante  colazione e ottimi luoghi comuni, la gentilezza del personale e delle cameriere dei piani.",0,0,1,1,0,0,1,1
"posizione ottima, personale super gentile, ottima colazione",0,0,1,1,0,0,1,0
"Mi hanno mandato a 6 isolati più lontano ed ecco  Stanza a piano terra, serratura camera guasta, bagno esterno stessi problemi serratura, 2 letti a castello in ferro  tipo galera ,scrivania e comodino ammaccati, muri scrostati, niente moquette e o tappeti sul pavimento, lampada a muro con fili scoperti, nessuna possibilità di aprire finestra.",0,1,0,0,0,0,0,0
"Camera pulita e curata, buona colazione",1,0,1,0,0,0,0,0
personale alla reception non sempre così aperto e disponibile,0,0,0,1,0,0,0,0
Staff Cordiale e Professionale.,0,0,0,1,0,0,0,0
